contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250905C06435000,2025-09-05 19:57:45+00:00,6481.5,15.180000305175781,6435.0,40.68,45.0,50.3,-32.940002,-44.74328,2939.0,1643,0.13663583099365234,True,REGULAR,USD
SPXW250905C06440000,2025-09-05 19:58:03+00:00,6481.5,15.180000305175781,6440.0,35.9,40.0,45.3,-34.71,-49.15734,3262.0,1179,0.12680926910400392,True,REGULAR,USD
SPXW250905C06445000,2025-09-05 19:58:34+00:00,6481.5,15.180000305175781,6445.0,32.69,35.0,40.3,-30.080002,-48.10491,4407.0,466,0.11679960357666015,True,REGULAR,USD
SPXW250905C06450000,2025-09-05 19:59:58+00:00,6481.5,15.180000305175781,6450.0,31.3,30.2,34.9,-30.93,-49.702717,14736.0,5555,0.10212079528808593,True,REGULAR,USD
SPXW250905C06455000,2025-09-05 19:59:58+00:00,6481.5,15.180000305175781,6455.0,26.21,25.7,28.9,-31.57,-55.028763,16093.0,1497,0.0805756005859375,True,REGULAR,USD
SPXW250905C06460000,2025-09-05 19:59:58+00:00,6481.5,15.180000305175781,6460.0,21.21,20.6,22.8,-32.09,-59.217564,36331.0,1956,0.05713833496093751,True,REGULAR,USD
SPXW250905C06465000,2025-09-05 19:59:50+00:00,6481.5,15.180000305175781,6465.0,16.0,16.0,18.0,-32.73,-68.7172,44449.0,1855,0.050180396728515625,True,REGULAR,USD
SPXW250905C06470000,2025-09-05 19:59:58+00:00,6481.5,15.180000305175781,6470.0,12.0,10.9,12.5,-33.07,-73.37475,85446.0,4428,0.03441822525024414,True,REGULAR,USD
SPXW250905C06475000,2025-09-05 19:59:59+00:00,6481.5,15.180000305175781,6475.0,6.9,6.2,7.0,-34.48,-84.759094,104899.0,3191,0.01862553649902344,True,REGULAR,USD
SPXW250905C06480000,2025-09-05 19:59:59+00:00,6481.5,15.180000305175781,6480.0,1.0,0.95,1.25,-35.9,-97.28998,153253.0,2340,1.0000000000000003e-05,True,REGULAR,USD
SPXW250905C06485000,2025-09-05 19:59:58+00:00,6481.5,15.180000305175781,6485.0,0.05,0.0,0.05,-32.8,-99.69605,109171.0,4190,0.006418627319335938,False,REGULAR,USD
SPXW250905C06490000,2025-09-05 19:59:57+00:00,6481.5,15.180000305175781,6490.0,0.05,0.0,0.05,-30.02,-99.833725,119442.0,3621,0.013193461914062501,False,REGULAR,USD
SPXW250905C06495000,2025-09-05 19:59:25+00:00,6481.5,15.180000305175781,6495.0,0.03,0.0,0.05,-25.97,-99.88461,70827.0,2356,0.01941898559570313,False,REGULAR,USD
SPXW250905C06500000,2025-09-05 19:59:42+00:00,6481.5,15.180000305175781,6500.0,0.03,0.0,0.05,-22.369999,-99.86607,132890.0,10685,0.02540037109375,False,REGULAR,USD
SPXW250905C06505000,2025-09-05 19:59:09+00:00,6481.5,15.180000305175781,6505.0,0.03,0.0,0.05,-19.769999,-99.84848,50582.0,3127,0.0312596875,False,REGULAR,USD
SPXW250905C06510000,2025-09-05 19:58:51+00:00,6481.5,15.180000305175781,6510.0,0.03,0.0,0.05,-16.769999,-99.82143,51925.0,3597,0.03687486572265625,False,REGULAR,USD
SPXW250905C06515000,2025-09-05 19:56:27+00:00,6481.5,15.180000305175781,6515.0,0.04,0.0,0.05,-14.16,-99.71831,43381.0,2217,0.0424900439453125,False,REGULAR,USD
SPXW250905C06520000,2025-09-05 19:58:46+00:00,6481.5,15.180000305175781,6520.0,0.05,0.0,0.05,-12.04,-99.75145,56588.0,3830,0.047861083984375,False,REGULAR,USD
SPXW250905C06525000,2025-09-05 19:58:19+00:00,6481.5,15.180000305175781,6525.0,0.03,0.0,0.05,-9.87,-99.696976,48893.0,5000,0.05323212402343751,False,REGULAR,USD
SPXW250905C06530000,2025-09-05 19:59:32+00:00,6481.5,15.180000305175781,6530.0,0.04,0.0,0.05,-8.01,-99.503105,51434.0,4409,0.058603164062500004,False,REGULAR,USD
