contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250327P05645000,2025-03-27 19:59:10+00:00,5693.31005859375,18.690000534057617,5645.0,0.03,0.0,0.05,-4.29,-99.30555,26096.0,1038,0.06714800048828126,False,REGULAR,USD
SPXW250327P05650000,2025-03-27 19:58:02+00:00,5693.31005859375,18.690000534057617,5650.0,0.03,0.0,0.05,-4.97,-99.399994,55873.0,2883,0.06104454589843751,False,REGULAR,USD
SPXW250327P05655000,2025-03-27 19:57:01+00:00,5693.31005859375,18.690000534057617,5655.0,0.03,0.0,0.05,-5.77,-99.48276,36254.0,1239,0.054696953125,False,REGULAR,USD
SPXW250327P05660000,2025-03-27 19:59:04+00:00,5693.31005859375,18.690000534057617,5660.0,0.03,0.0,0.05,-6.52,-99.541985,46889.0,1319,0.048349360351562495,False,REGULAR,USD
SPXW250327P05665000,2025-03-27 19:59:53+00:00,5693.31005859375,18.690000534057617,5665.0,0.05,0.0,0.05,-7.56,-99.34297,41080.0,1222,0.042001767578125,False,REGULAR,USD
SPXW250327P05670000,2025-03-27 19:59:40+00:00,5693.31005859375,18.690000534057617,5670.0,0.05,0.0,0.05,-8.7,-99.42857,68390.0,1175,0.035410036621093745,False,REGULAR,USD
SPXW250327P05675000,2025-03-27 19:59:57+00:00,5693.31005859375,18.690000534057617,5675.0,0.05,0.0,0.05,-10.09,-99.5069,53312.0,1188,0.028818305664062502,False,REGULAR,USD
SPXW250327P05680000,2025-03-27 19:59:55+00:00,5693.31005859375,18.690000534057617,5680.0,0.03,0.0,0.05,-11.25,-99.73405,72245.0,1161,0.021982436523437503,False,REGULAR,USD
SPXW250327P05685000,2025-03-27 19:59:59+00:00,5693.31005859375,18.690000534057617,5685.0,0.03,0.0,0.05,-12.77,-99.765625,51124.0,783,0.014780360107421876,False,REGULAR,USD
SPXW250327P05690000,2025-03-27 19:59:59+00:00,5693.31005859375,18.690000534057617,5690.0,0.15,0.1,0.2,-14.150001,-98.95105,86409.0,2920,0.00998914825439453,False,REGULAR,USD
SPXW250327P05695000,2025-03-27 19:59:59+00:00,5693.31005859375,18.690000534057617,5695.0,2.25,2.35,2.4,-13.93,-86.09394,62034.0,1262,0.01174389144897461,True,REGULAR,USD
SPXW250327P05700000,2025-03-27 19:59:59+00:00,5693.31005859375,18.690000534057617,5700.0,6.8,6.6,8.9,-10.95,-61.69014,106353.0,2644,0.040674266204833984,True,REGULAR,USD
SPXW250327P05705000,2025-03-27 19:59:58+00:00,5693.31005859375,18.690000534057617,5705.0,11.7,11.4,14.0,-8.3,-41.5,45982.0,1106,0.0551852294921875,True,REGULAR,USD
SPXW250327P05710000,2025-03-27 19:59:57+00:00,5693.31005859375,18.690000534057617,5710.0,16.7,16.3,20.0,-5.299999,-24.090906,44969.0,1074,0.07886663330078125,True,REGULAR,USD
SPXW250327P05715000,2025-03-27 19:59:39+00:00,5693.31005859375,18.690000534057617,5715.0,22.0,21.0,24.2,-2.5,-10.204082,23296.0,1485,0.08185732604980471,True,REGULAR,USD
SPXW250327P05720000,2025-03-27 19:58:38+00:00,5693.31005859375,18.690000534057617,5720.0,23.5,24.9,31.4,-3.6499996,-13.44383,23370.0,3621,0.11962245132446289,True,REGULAR,USD
SPXW250327P05725000,2025-03-27 19:59:43+00:00,5693.31005859375,18.690000534057617,5725.0,35.0,28.6,36.8,5.0,16.666666,12660.0,1828,0.13655953781127933,True,REGULAR,USD
SPXW250327P05730000,2025-03-27 19:57:19+00:00,5693.31005859375,18.690000534057617,5730.0,35.38,33.1,41.9,2.4799995,7.537992,10989.0,7551,0.1498955860900879,True,REGULAR,USD
SPXW250327P05735000,2025-03-27 19:58:13+00:00,5693.31005859375,18.690000534057617,5735.0,36.3,38.1,46.9,0.34000015,0.9454954,5083.0,4485,0.16178206390380856,True,REGULAR,USD
SPXW250327P05740000,2025-03-27 19:58:09+00:00,5693.31005859375,18.690000534057617,5740.0,45.43,44.4,52.0,6.3100014,16.12986,4855.0,3388,0.1746450944519043,True,REGULAR,USD
